Code,Name,Street Address,Street Suburb,Street State,Street Postcode,Postal Address,Postal Suburb,Postal State,Postal Postcode,Phone
P4QUP,Queens Park Public Library - CLOSED,,,,,Cnr Railway Parade & George St,QUEENS PARK,WA,6107,
P5RAV,Ravensthorpe Public Library,"Community Resource Centre, Dunn Street",Ravensthorpe,WA,6346,P.O. Box 299,RAVENSTHORPE,WA,6346,9838 1340
P4RIV,Riverton Public Library,67 Riley Road,RIVERTON,WA,6148,PO Box 105,PARKWOOD,WA,6147,9231 0944
P4RTA,Rockingham Campus Community Library,,,,,Dixon Road,Rockingham ,WA,6168,9360 7060
P3RGU,Rocky Gully Public Library CLOSED ,,,,,Westfield St,ROCKY GULLY,WA,6397,
P2ROE,Roebourne Public Library,Lot 12 Sholl Street,ROEBOURNE,WA,6718,PO Box 165,ROEBOURNE,WA,6718,9182 1223
P4SBY,Safety Bay Public Library,,,,,197 Safety Bay Road,SAFETY BAY,WA,6169,9528 8611
P2SAN,Sandstone Public Library,,,,,Hack Street,SANDSTONE,WA,6639,9963 5802
P1SCA,Scarborough Public Library,,,,,"Scarborough Civic Centre, 173 Gildercliffe Street ",SCARBOROUGH,WA,6019,9205 7420
P4SVG,Seville Grove Public Library,,,,,78 Champion Dve,SEVILLE GROVE,WA,6112,9399 0800
P3SHB,Shark Bay Public Library,65 Knight Terrace,DENHAM,WA,6537,PO Box 126,DENHAM,WA,6537,9948 1218
SLWA,SLWA Library (Testing),25 Francis Street,Perth,WA,6000,Perth Cultural Centre,Perth,WA,6000,9427 3162
P4SHD,South Hedland Public Library,Leake Street,SOUTH HEDLAND,WA,6722,PO Box 2361,SOUTH HEDLAND,WA,0,9158 9373 
P2SPH,South Perth Public Library,,,,,cnr Sandgate St &amp; South Tce,SOUTH PERTH,WA,6151,9474 0800
P5SCR,Southern Cross Public Library,Canopus Street,SOUTHERN CROSS,WA,6426,PO Box 178,SOUTHERN CROSS,WA,6426,9049 1688
P2SPE,Spearwood Public Library,9 Coleville Crescent,SPEARWOOD,WA,6163,PO Box  1215,BIBRA LAKE DC,WA,6965,9411 3800
P9STI,Stirling Administration,,,,,City of Stirling,"25 CEDRIC STREET, STIRLING",WA,6021,9205 8593
P3SUB,Subiaco Public Library,237 Rokeby Road,SUBIACO,WA,6008,PO Box 526,SUBIACO,WA,6904,9237 9300
P2SPL,Success Public Library,Cnr Wentworth Parade & Beeliar Drive,SUCCESS,WA,6164,PO Box 1215,BIBRA LAKE  DC  WA 6965,WA,0,9411 3840
P3TAM,Tambellup Public Library,"Tambellup Community Resource Centre, 32-34 Norrish Street",TAMBELLUP,WA,6320,34 Norrish Street,TAMBELLUP,WA,6320,9825 1177
P4TMN,Tammin Public Library,1 Donnan Street,TAMMIN,WA,6409,PO BOX 53,TAMMIN,WA,6409,9637 1101
P4THO,Thornlie Public Library,Connemara Drive,THORNLIE,WA,6108,PO Box 662,GOSNELLS WA 6990,WA,0,9251 8750
P2TRE,Three Springs Public Library,Railway Road,THREE SPRINGS,WA,6519,PO BOX 117,THREE SPRINGS,WA,6519,9954 1001
P2TOM,Tom Price Public Library,Central Road,TOM PRICE,WA,6751,P O Box 205,TOM PRICE,WA,6751,9188 5455
P4TOO,Toodyay Public Library,96 Stirling Terrace,TOODYAY,WA,6566,PO Box 96,TOODYAY,WA,6566,9574 2323
P5TRY,Trayning Public Library,Railway Street,TRAYNING,WA,6488,PO Box 95,TRAYNING,WA,6488,9683 1001
